ID,Asset,File,Dimensions,FocalPoint,Use,AltText,Status
P02,Contracts,P02_category-contracts_master_1600x900.jpg,1600x900,44% 58%,Contracts Area,A legal professional reviews and marks a commercial contract at a desk.,APPROVED / FROZEN
P02,Contracts Area card,P02_category-contracts_800x450.jpg,800x450,44% 58%,Contracts Area card,A legal professional reviews and marks a commercial contract at a desk.,APPROVED / FROZEN
